id,ra,nome,tempoestudo,rendafamiliar
1,00169506,Marcelo Avelino,6,2500.5
2,00034548,Ana Silva,5,3000.75
3,00034549,Bruno Costa,4,2000.0
4,00034550,Carlos Pereira,7,3500.2
5,00034551,Daniela Souza,3,1500.4
6,00034552,Eduardo Lima,8,4000.6
7,00034553,Fernanda Oliveira,6,2700.3
8,00034554,Gustavo Santos,5,2900.9
9,00034555,Helena Rocha,4,2300.0
10,00034556,Igor Martins,7,3100.1
11,00034557,Julia Mendes,6,2800.8
12,00034558,Lucas Almeida,5,2600.5
13,00034559,Mariana Barbosa,8,4200.4
14,00034560,Nicolas Ferreira,3,1700.2
15,00034561,Olivia Cardoso,5,2500.0
16,00034562,Pedro Azevedo,4,2200.7
17,00034563,Quezia Farias,7,3400.9
18,00034564,Ricardo Ribeiro,6,2900.5
19,00034565,Sofia Vasconcelos,5,2400.3
20,00034566,Tiago Macedo,4,2100.1
